id,instrument,code,name,position,row,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percussion,harp,piano,column
1145,Contrebasse,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,L12,12,3,3,3,3,2,3,3,3,3,5,5,5,5,5,3,3,L
1146,Contrebasse,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,P12,12,3,3,3,3,2,3,3,3,3,5,5,5,3,5,3,3,P
1147,Contrebasse,Moz1,Symphonie n°41 (MOZART) - Configuration 1,O14,14,3,3,2,4,2,4,4,0,3,2,4,0,0,5,0,0,O
1148,Contrebasse,Moz2,Symphonie n°41 (MOZART) - Configuration 2,O14,14,3,3,4,2,4,4,3,1,2,2,4,0,1,5,0,0,O
1149,Contrebasse,Moz3,Symphonie n°41 (MOZART) - Configuration 3,J9,9,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,J
1150,Contrebasse,Moz4,Symphonie n°41 (MOZART) - Configuration 4,J11,11,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,J
1155,Contrebasse,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,I13,13,4,3,2,3,3,4,3,4,2,2,4,0,0,2,0,0,I
1156,Contrebasse,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,O12,12,3,3,2,2,2,4,4,1,2,3,4,0,0,4,0,0,O
1157,Contrebasse,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,J9,9,3,3,2,2,3,3,3,3,2,4,3,0,0,3,0,0,J
1158,Contrebasse,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,L11,11,3,3,2,3,3,3,3,2,3,3,3,0,0,2,0,0,L
1159,Contrebasse,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,R17,17,3,3,3,2,2,3,3,3,2,3,4,3,3,2,0,0,R
1160,Contrebasse,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,H11,11,3,3,3,3,3,3,3,2,2,4,3,3,3,3,0,0,H
1161,Contrebasse,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,L9,9,3,3,3,3,3,3,2,2,2,4,3,3,3,3,0,0,L
1162,Contrebasse,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,L11,11,3,3,3,3,3,3,3,3,3,3,3,2,2,3,0,0,L
